t,x,conv,f,g
5.0999999999999535,5.0999999999999535,5.6375472800538664e-06,1.0116505485692386e-11,5.058252742846193e-12
5.199999999999953,5.199999999999953,3.3684378516688155e-06,3.611662875028192e-12,1.805831437514096e-12
5.299999999999953,5.299999999999953,1.992617480542097e-06,1.2638571770357066e-12,6.319285885178533e-13
5.399999999999952,5.399999999999952,1.1670148651796689e-06,4.3351377652401565e-13,2.1675688826200783e-13
5.499999999999952,5.499999999999952,6.766839804998724e-07,1.4575448191647048e-13,7.287724095823524e-14
5.599999999999952,5.599999999999952,3.884655027635137e-07,4.8034695632445153e-14,2.4017347816222577e-14
5.699999999999951,5.699999999999951,2.2078831015653089e-07,1.551680415140071e-14,7.758402075700355e-15
5.799999999999951,5.799999999999951,1.2423865710717556e-07,4.913190737587079e-15,2.4565953687935396e-15
5.899999999999951,5.899999999999951,6.921408414530248e-08,1.524891981078833e-15,7.624459905394165e-16
5.99999999999995,5.99999999999995,3.817589785027398e-08,4.639045660489907e-16,2.3195228302449536e-16
6.09999999999995,6.09999999999995,2.084688153256928e-08,1.3833507951091338e-16,6.916753975545669e-17
6.1999999999999496,6.1999999999999496,1.1270676697158013e-08,4.0434316973932215e-17,2.0217158486966107e-17
6.299999999999949,6.299999999999949,6.251963722523209e-09,1.158462577079715e-17,5.792312885398575e-18
6.399999999999949,6.399999999999949,3.30475958277918e-09,3.2533292429086125e-18,1.6266646214543063e-18
6.4999999999999485,6.4999999999999485,1.7247811734858875e-09,8.955464883442583e-19,4.4777324417212915e-19
6.599999999999948,6.599999999999948,8.889386232540198e-10,2.416364039801607e-19,1.2081820199008036e-19
6.699999999999948,6.699999999999948,4.525974024465179e-10,6.39073343550118e-20,3.19536671775059e-20
6.799999999999947,6.799999999999947,2.2777032784934116e-10,1.6567354015377608e-20,8.283677007688804e-21
6.899999999999947,6.899999999999947,1.133821217049751e-10,4.209879956682552e-21,2.104939978341276e-21
6.999999999999947,6.999999999999947,5.587685769432e-11,1.0485771326734752e-21,5.242885663367376e-22
7.099999999999946,7.099999999999946,2.72881451110452e-11,2.560030638105239e-22,1.2800153190526195e-22
7.199999999999946,7.199999999999946,1.3218786351122424e-11,6.126381729159648e-23,3.063190864579824e-23
7.299999999999946,7.299999999999946,6.357329385818334e-12,1.4370671271815834e-23,7.185335635907917e-24
7.399999999999945,7.399999999999945,3.0376872810877228e-12,3.30418356463122e-24,1.65209178231561e-24
7.499999999999945,7.499999999999945,1.4428107099219266e-12,7.446726243507159e-25,3.7233631217535793e-25
7.599999999999945,7.599999999999945,6.813214145907797e-13,1.6450561303227162e-25,8.225280651613581e-26
7.699999999999944,7.699999999999944,3.1981758866230586e-13,3.562133269517248e-26,1.781066634758624e-26
7.799999999999944,7.799999999999944,1.4915863330831994e-13,7.560555689558805e-27,3.7802778447794025e-27
7.8999999999999435,7.8999999999999435,6.906457374498798e-14,1.5729371871546921e-27,7.8646859357734605e-28
